parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
empirical_F,6,-3.368646065837214,-3.3218057900951683,-3.356363888132483,-3.666609597689272,-3.077554754232564,0.95,10.0,glucose,42
fc_mu,1,0.4850220674608261,0.45492520819799165,0.48509022242230143,0.3583405145827382,0.5995709458218106,0.95,0.09999999999999999,glycerol,37
fc_mu,2,0.2384085103259389,0.2423857032072222,0.238058586378827,0.11282353562244307,0.3714096181853763,0.95,0.19999999999999998,glycerol,37
fc_mu,3,0.11604040953645008,0.10945412615277261,0.10767013783361618,0.045510875336296275,0.20196433395554603,0.95,0.3,glycerol,37
fc_mu,4,0.08624066066837736,0.10992122520656078,0.08545528156937865,0.048686496592602824,0.12110167920794634,0.95,0.39999999999999997,glycerol,37
fc_mu,5,0.13612055266045364,0.1578080563696712,0.1290928431027657,0.009846567823121544,0.27505724228541617,0.95,0.7000000000000001,glycerol,37
fc_mu,6,0.05290376397979049,0.053846218250755196,0.051982827863145065,0.0332622520168967,0.07264810084007922,0.95,1.0,glycerol,37
fc_mu,7,0.025178012598747974,0.026720228197876672,0.025211905340680185,0.021510971891496422,0.028509183296401508,0.95,2.0,glycerol,37
fc_mu,8,0.02104079405604928,0.020050350555043228,0.021032672710588507,0.016620796264074422,0.025715020045034676,0.95,3.0,glycerol,37
fc_mu,9,0.023156634204437154,0.019705151777194563,0.02293946001159447,0.013039788958813414,0.032987871988851,0.95,4.0,glycerol,37
fc_mu,10,0.024325635137609387,0.024494144028396114,0.02423952211635083,0.013455260363568589,0.034143594853058956,0.95,7.0,glycerol,37
fc_mu,11,0.04141580865711789,0.0448147669853709,0.0408761952311229,0.019849445305174185,0.06131331677815566,0.95,10.0,glycerol,37
fc_sigma,1,0.17633861741090953,0.15778921428675807,0.17191619199297387,0.11758644131184455,0.24095058420905896,0.95,0.09999999999999999,glycerol,37
fc_sigma,2,0.1258584697413691,0.11074096606339037,0.11871151522165874,0.07886809098253544,0.18839354127086244,0.95,0.19999999999999998,glycerol,37
fc_sigma,3,0.09102408002620521,0.06803001206228895,0.08175747252408755,0.04261689523276347,0.16127360747851227,0.95,0.3,glycerol,37
fc_sigma,4,0.05232589248439017,0.0527896514131342,0.05119852915007757,0.016374052421401934,0.07502947603335643,0.95,0.39999999999999997,glycerol,37
